지점,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),일조(hr),일사(MJ/m2),적설(cm),3시간신적설(cm),지면온도(°C)
155,2015-01-16 15:00,9.9,,2.2,230,39,,,,,12.8
155,2015-01-16 16:00,8.7,,2.6,230,46,.2,,,,7.9
155,2015-01-16 17:00,7.2,,4.1,320,47,.3,,,,5.3
155,2015-01-16 18:00,5.9,,3.4,270,45,0,,,,2.6
155,2015-01-16 19:00,5.5,,4,290,44,,,,,1.4
155,2015-01-16 20:00,5.1,,3.2,290,47,,,,,.8
155,2015-01-16 21:00,5.1,,2.3,290,48,,,,,1.2
155,2015-01-16 22:00,4.3,,1.5,270,48,,,,,0
155,2015-01-16 23:00,5.1,,2.8,290,48,,,,,1.6
155,2015-01-17 00:00,4.3,,1.7,270,54,,,,,.8
155,2015-01-17 01:00,4.2,,3.7,290,47,,,,,.5
155,2015-01-17 02:00,3.6,,2.5,290,45,,,,,.2
155,2015-01-17 03:00,2.9,,3.2,250,47,,,,,-.1
155,2015-01-17 04:00,2.2,,2.1,250,45,,,,,-.5
155,2015-01-17 05:00,1.9,,2,290,42,,,,,-1.1
155,2015-01-17 06:00,1.5,,1.9,320,46,,,,,-1.7
155,2015-01-17 07:00,1.2,,3,290,44,,,,,-2.1
155,2015-01-17 08:00,1.2,,3.7,290,41,.1,,,,-2.1
155,2015-01-17 09:00,1.7,,2.4,270,35,,,,,-.7
155,2015-01-17 10:00,2.4,,3.1,320,28,,,,,.4
155,2015-01-17 11:00,3.8,,2.9,290,22,,,,,5.4
155,2015-01-17 12:00,4.5,,3.5,320,19,,,,,9.8
155,2015-01-17 13:00,5.5,,2.3,,20,,,,,14.2
155,2015-01-17 14:00,6,,1.7,50,21,,,,,15
155,2015-01-17 15:00,6.3,,4.2,50,18,,,,,11
155,2015-01-17 16:00,6.7,,1.8,110,18,,,,,4.1
155,2015-01-17 17:00,5.1,,1.7,50,19,,,,,1.1
155,2015-01-17 18:00,4.4,,2.9,,19,0,,,,-.2
155,2015-01-17 19:00,3.4,,2.8,,20,,,,,-.5
155,2015-01-17 20:00,2.5,,1.7,320,22,,,,,-1.2
