parking_ID,parking_name,parking_adr,parking_lat,parking_lng,parking_area,parking_pay,parking_time ,C,D,floating_people,land_grade,ppi,ppg,ppr
415-1-000018,성주동 519-1 노상주차장,경상남도 창원시 성산구 성주동 519-1,35.193016,128.683001,80,무료,24시간,0,0,104.7411905,1,185.1309461,A,1
415-1-000002,까치아파트옆 노상주차장,경상남도 창원시 성산구 반지동 512-7,35.244862,128.667064,78,무료,24시간,0,101,2264.647619,1,178.0395921,A,1
415-1-000037,충혼로 72번길 노상주차장,경상남도 창원시 성산구 충혼로72번길,35.223887,128.67632,160,무료,24시간,3,7777,1657.880714,1,111.4657021,C,3
415-1-000036,가음로 15번길 노상주차장,경상남도 창원시 성산구 가음로15번길,35.211943,128.70193,34,무료,24시간,0,1792,2334.898095,1,177.5387464,A,1
415-1-000035,공단로 103번길 노상주차장,경상남도 창원시 성산구 공단로103번길,35.215213,128.635255,65,무료,24시간,0,0,11.85535715,1,187.588606,A,1
415-1-000034,적현로 279번길 노상주차장,경상남도 창원시 성산구 적현로279번길,35.198914,128.606051,128,무료,24시간,0,0,35.55190476,1,178.4513726,A,1
415-1-000033,신촌로 노상주차장,경상남도 창원시 성산구 신촌동 42,35.207501,128.626427,21,무료,24시간,3,1354,5398.770595,1,144.4348734,B,2
414-1-000106,금강로379번길(소계동746번지 도로부지 일대) 공영주차장,경상남도 창원시 의창구 금강로379번길,35.259142,128.601931,52,무료,24시간,0,35,553.7985714,1,187.5690825,A,1
414-1-000105,남산로1번길(임진각식당 인근) 공영주차장,경상남도 창원시 의창구 남산로1번길(임진각식당 인근),35.261259,128.617877,99,무료,24시간,0,646,2411.298333,1,172.417458,A,1
414-1-000120,대산북로(대산면 모산리 143-4번지) 공영주차장,경상남도 창원시 의창구 대산북로,35.357511,128.71272,33,무료,24시간,0,0,741.1919048,1,189.8322956,A,1
414-1-000094,현대아파트~동양상가 공영주차장,경상남도 창원시 의창구 대원로 93번길(현대아파트~동양상가),35.235523,128.649553,73,무료,24시간,0,200,425.9345238,1,184.3182022,A,1
414-1-000127,도계로163번걸(명서동19-20~19-11) 공영주차장,경상남도 창원시 의창구 도계로163번걸,35.251506,128.640476,21,무료,24시간,0,249,3603.514286,1,181.3298704,A,1
414-1-000128,도계로163번걸 맞은편(위브공원앞 하천길) 공영주차장,경상남도 창원시 의창구 도계로163번걸 맞은편(위브공원앞 하천길),35.251506,128.640476,21,무료,24시간,0,249,3603.514286,1,181.3298704,A,1
414-1-000115,명서로(명서동132-10번지~명서동145-18번지 앞) 공영주차장,경상남도 창원시 의창구 명서로,35.245394,128.645913,55,무료,24시간,0,307,784.1290476,1,185.330889,A,1
414-1-000112,명서로(명서동34-7번지~명서동 151-8번지) 공영주차장,경상남도 창원시 의창구 명서로,35.251287,128.648274,37,무료,24시간,0,627,612.0745238,1,187.2267324,A,1
414-1-000129,명지로14번길(명서동 18-24~18-13) 공영주차장,경상남도 창원시 의창구 명지로14번길,35.250538,128.641914,26,무료,24시간,0,289,874.4094048,1,189.2799678,A,1
414-1-000126,무역로581번길(농산물도매시장 앞) 공영주차장,경상남도 창원시 의창구 무역로581번길(농산물도매시장 앞),35.229949,128.6382,23,무료,24시간,0,816,3144.077976,1,180.3143693,A,1
414-1-000096,반계로(동서식품 창원공장)  공영주차장,경상남도 창원시 의창구 반계로(동서식품 창원공장),35.251879,128.615112,98,무료,24시간,1,3870,1953.128571,1,152.5311289,B,2
414-1-000119,봉강가술로394번길 공영주차장,경상남도 창원시 의창구 봉강가술로394번길,35.341192,128.694465,10,무료,24시간,0,0,181.6819047,1,194.9494733,A,1
414-1-000116,봉곡로23번길(봉곡동70-5번지~봉곡동70-8번지) 공영주차장,경상남도 창원시 의창구 봉곡로23번길,35.247982,128.659437,6,무료,24시간,0,144,380.5057143,1,194.3196152,A,1
414-1-000121,"상남로(창원중앙역진입도로, 창원대~창원중앙역) 공영주차장","경상남도 창원시 의창구 상남로(창원중앙역진입도로, 창원대~창원중앙역)",35.242675,128.70159,151,무료,24시간,3,7101,339.3736904,1,119.6629727,C,3
414-1-000141,용지호수앞 공영주차장,경상남도 창원시 의창구 용지로169번길,35.230311,128.680949,90,기본 30분 500원 / 추가 10분당 200원,8시~24시,3,3587,6144.082857,1,75.94905202,D,4
414-1-000110,우곡로(명서동12-1번지~명서동12-8번지) 공영주차장,경상남도 창원시 의창구 우곡로,35.251113,128.63732,12,무료,24시간,0,381,739.9991667,1,191.3689193,A,1
414-1-000136,경남은행명곡지점 공영주차장,경상남도 창원시 의창구 원이대로 265,35.2435,128.649313,38,기본 30분 500원 / 추가 10분당 200원,8시~24시,0,3140,7703.590714,1,106.905187,C,3
414-1-000123,원이대로114번길(곰두리체육센터 앞) 공영주차장,경상남도 창원시 의창구 원이대로114번길(곰두리체육센터 앞),35.252804,128.636848,25,무료,24시간,0,509,2977.234047,1,181.764806,A,1
414-1-000124,원이대로114번길(서부경찰서 뒤편) 공영주차장,경상남도 창원시 의창구 원이대로114번길(서부경찰서 뒤편),35.251693,128.636869,51,무료,24시간,0,379,906.0720236,1,185.2307374,A,1
414-1-000130,원이대로215번길(명서동 39-1~82-12) 공영주차장,경상남도 창원시 의창구 원이대로215번길,35.248785,128.642294,26,무료,24시간,0,532,9915.053807,1,159.095737,B,2
414-1-000131,원이대로219번길(명서동 38-1~132-1) 공영주차장,경상남도 창원시 의창구 원이대로219번길,35.249434,128.643464,53,무료,24시간,0,829,2604.038571,1,177.6954182,A,1
414-1-000113,원이대로220번길(명서동131-12번지 ~ 105-15번지) 공영주차장,경상남도 창원시 의창구 원이대로220번길,35.245089,128.644558,47,무료,24시간,0,124,2246.841309,1,182.4657736,A,1
414-1-000114,원이대로224번길(명서동181-1번지~명서동191-14번지 앞) 공영주차장,경상남도 창원시 의창구 원이대로224번길,35.244793,128.645291,62,무료,24시간,0,161,473.162381,1,185.8997445,A,1
414-1-000135,용호상가 공영주차장,경상남도 창원시 의창구 원이대로579번길 8,35.229093,128.679322,123,기본 30분 500원 / 추가 10분당 200원,8시~24시,3,4654,5433.279881,1,69.33601194,D,4
414-1-000109,원이대로81번길(도계동346-11번지~도계동397-5번지) 공영주차장,경상남도 창원시 의창구 원이대로81번길,35.255745,128.636059,54,무료,24시간,0,1692,4577.162976,1,167.8017517,A,1
414-1-000108,"정렬대로(동정동 산30-8번지, 국도 출구 램프구간) 공영주차장",경상남도 창원시 의창구 정렬대로,35.268887,128.613307,8,무료,24시간,0,0,158.4535714,1,195.3122271,A,1
414-1-000104,죽전로(죽전사거리~사화로 접합부) 공영주차장,경상남도 창원시 의창구 죽전로(죽전사거리~사화로 접합부),35.245538,128.621571,56,무료,24시간,0,154,823.2138096,1,185.6579942,A,1
414-1-000098,죽전로(죽전사거리~죽전로삼거리) 공영주차장,경상남도 창원시 의창구 죽전로(죽전사거리~죽전로삼거리),35.24401,128.620244,122,무료,24시간,0,143,627.947381,1,176.8403283,A,1
414-1-000102,죽전로74번길(코리아펀치~㈜마스터) 공영주차장,경상남도 창원시 의창구 죽전로74번길(코리아펀치~㈜마스터),35.245261,128.626045,100,무료,24시간,0,889,1383.551191,1,174.6484793,A,1
414-1-000142,중심업무지구 공영주차장,"경상남도 창원시 의창구 중앙대로160,186,210번길",35.231581,128.688171,361,기본 30분 500원 / 추가 10분당 200원,8시~24시,0,537,3404.232024,1,84.51702636,C,3
414-1-000139,시청뒷길 공영주차장,경상남도 창원시 의창구 중앙대로161번길,35.228771,128.682556,65,기본 30분 500원 / 추가 10분당 200원,8시~24시,1,9320,2549.445476,1,86.63741882,C,3
414-1-000117,지귀로73번길(봉곡동10-10번지~봉곡동3-15번지) 공영주차장,경상남도 창원시 의창구 지귀로73번길,35.247581,128.654266,34,무료,24시간,0,1476,1231.789405,1,182.3396419,A,1
414-1-000122,"지귀로95번길(봉곡동 502-6, 코오롱아파트 앞) 공영주차장",경상남도 창원시 의창구 지귀로95번길(코오롱아파트 앞),35.24681,128.658306,19,무료,24시간,0,326,501.8795238,1,191.3469362,A,1
414-1-000095,차룡단지로 177~평산로 접합부 공영주차장,경상남도 창원시 의창구 차룡단지로(차룡단지로 177~평산로 접합부),35.237758,128.629971,346,무료,24시간,0,29,116.2964286,1,146.7244798,B,2
414-1-000103,차룡로(차룡사거리~사화로 접합부) 공영주차장,경상남도 창원시 의창구 차룡로(차룡사거리~사화로 접합부),35.242594,128.626793,70,무료,24시간,0,64,7122.216547,1,163.6262326,A,1
414-1-000100,차룡로(차룡사거리~차룡삼거리) 공영주차장,경상남도 창원시 의창구 차룡로(차룡사거리~차룡삼거리),35.242743,128.626358,58,무료,24시간,0,70,7500.662857,1,164.1048215,A,1
414-1-000101,차룡로48번길(LPG가스충전소~임시화물터미널) 공영주차장,경상남도 창원시 의창구 차룡로48번길(LPG가스충전소~임시화물터미널),35.242021,128.632219,139,무료,24시간,0,185,789.3111905,1,173.7096175,A,1
414-1-000133,차상로(팔용동87-1~87-16) 공영주차장,경상남도 창원시 의창구 차상로(팔용동87-1~87-16),35.253696,128.614122,31,무료,24시간,1,513,3346.884166,1,170.7657164,A,1
