년도,지역,상세지역,성별,연령대,분야,건수
2018,경상남도,경상남도 거창군,여,50,교통 분야,1
2018,경상남도,경상남도 거창군,여,50,도로 분야,3
2018,경상남도,경상남도 거창군,여,60,교통 분야,1
2018,경상남도,경상남도 고성군,남,20,교통 분야,2
2018,경상남도,경상남도 고성군,남,30,교통 분야,4
2018,경상남도,경상남도 고성군,남,30,도로 분야,7
2018,경상남도,경상남도 고성군,남,40,교통 분야,3
2018,경상남도,경상남도 고성군,남,40,도로 분야,18
2018,경상남도,경상남도 고성군,남,50,교통 분야,5
2018,경상남도,경상남도 고성군,남,50,도로 분야,10
2018,경상남도,경상남도 고성군,남,60,도로 분야,5
2018,경상남도,경상남도 고성군,남,70,도로 분야,1
2018,경상남도,경상남도 고성군,여,20,교통 분야,2
2018,경상남도,경상남도 고성군,여,20,도로 분야,1
2018,경상남도,경상남도 고성군,여,30,교통 분야,2
2018,경상남도,경상남도 고성군,여,30,도로 분야,3
2018,경상남도,경상남도 고성군,여,40,도로 분야,1
2018,경상남도,경상남도 고성군,여,50,교통 분야,1
2018,경상남도,경상남도 고성군,여,50,도로 분야,2
2018,경상남도,경상남도 고성군,여,60,도로 분야,1
2018,경상남도,경상남도 김해시,남,10,교통 분야,2
2018,경상남도,경상남도 김해시,남,20,교통 분야,72
2018,경상남도,경상남도 김해시,남,20,도로 분야,28
2018,경상남도,경상남도 김해시,남,30,교통 분야,77
2018,경상남도,경상남도 김해시,남,30,도로 분야,121
2018,경상남도,경상남도 김해시,남,40,교통 분야,82
2018,경상남도,경상남도 김해시,남,40,도로 분야,114
2018,경상남도,경상남도 김해시,남,50,교통 분야,22
2018,경상남도,경상남도 김해시,남,50,도로 분야,39
2018,경상남도,경상남도 김해시,남,60,교통 분야,15
2018,경상남도,경상남도 김해시,남,60,도로 분야,22
2018,경상남도,경상남도 김해시,남,70,도로 분야,2
2018,경상남도,경상남도 김해시,여,10,교통 분야,10
2018,경상남도,경상남도 김해시,여,10,도로 분야,1
2018,경상남도,경상남도 김해시,여,20,교통 분야,91
2018,경상남도,경상남도 김해시,여,20,도로 분야,35
2018,경상남도,경상남도 김해시,여,30,교통 분야,86
2018,경상남도,경상남도 김해시,여,30,도로 분야,45
2018,경상남도,경상남도 김해시,여,40,교통 분야,44
2018,경상남도,경상남도 김해시,여,40,도로 분야,47
2018,경상남도,경상남도 김해시,여,50,교통 분야,19
2018,경상남도,경상남도 김해시,여,50,도로 분야,14
2018,경상남도,경상남도 김해시,여,60,교통 분야,2
2018,경상남도,경상남도 김해시,여,60,도로 분야,3
2018,경상남도,경상남도 남해군,남,20,교통 분야,2
2018,경상남도,경상남도 남해군,남,20,도로 분야,1
2018,경상남도,경상남도 남해군,남,30,교통 분야,1
2018,경상남도,경상남도 남해군,남,30,도로 분야,5
2018,경상남도,경상남도 남해군,남,40,교통 분야,2
2018,경상남도,경상남도 남해군,남,40,도로 분야,6
2018,경상남도,경상남도 남해군,남,50,도로 분야,4
2018,경상남도,경상남도 남해군,남,60,교통 분야,1
2018,경상남도,경상남도 남해군,남,60,도로 분야,3
2018,경상남도,경상남도 남해군,남,70,도로 분야,1
2018,경상남도,경상남도 남해군,여,20,교통 분야,1
2018,경상남도,경상남도 남해군,여,30,교통 분야,1
2018,경상남도,경상남도 남해군,여,30,도로 분야,3
2018,경상남도,경상남도 남해군,여,40,교통 분야,2
2018,경상남도,경상남도 남해군,여,40,도로 분야,2
2018,경상남도,경상남도 남해군,여,50,도로 분야,5
2018,경상남도,경상남도 남해군,여,60,교통 분야,2
2018,경상남도,경상남도 밀양시,남,20,교통 분야,5
