단속구분,단속장소,단속건수,lat,lon
PDA단속,창원시 성산구 대방동 GS슈퍼마켓주차장,233,35.208711,128.7077029
PDA단속,창원시 성산구 대방동 X몰빌딩,155,35.2221343,128.6846511
PDA단속,창원시 성산구 대방동 개나리1차상가,90,35.2128563,128.7078166
PDA단속,창원시 성산구 대방동 개나리1차아파트,100,35.2139613,128.7087578
PDA단속,창원시 성산구 대방동 개나리3차상가,4,35.2105718,128.7042587
PDA단속,창원시 성산구 대방동 개나리아파트,83,35.2139613,128.7087578
PDA단속,창원시 성산구 대방동 경남빌딩,109,35.2161546,128.707786
PDA단속,창원시 성산구 대방동 경남약국,241,35.207889,128.7082548
PDA단속,창원시 성산구 대방동 경남은행,2,35.2122661,128.707314
PDA단속,창원시 성산구 대방동 경동프라자,126,35.2151382,128.7085075
PDA단속,창원시 성산구 대방동 공영주차장,2,35.2081277,128.7068697
PDA단속,창원시 성산구 대방동 그린빌아파트,9,35.2050262,128.7107569
PDA단속,창원시 성산구 대방동 그린힐,7,35.2128772,128.7099803
PDA단속,창원시 성산구 대방동 그린힐사우나,12,35.2128772,128.7099803
PDA단속,창원시 성산구 대방동 김밥일번지,12,35.21371,128.70973
PDA단속,창원시 성산구 대방동 남산성원아파트,29,35.2148403,128.7083073
PDA단속,창원시 성산구 대방동 남창원농협,12,35.2077216,128.707657
PDA단속,창원시 성산구 대방동 노인복지회관,218,35.2165693,128.7050226
PDA단속,창원시 성산구 대방동 노인종합복지회관,227,35.216904,128.705203
PDA단속,창원시 성산구 대방동 다성빌딩,225,35.2071874,128.7079128
PDA단속,창원시 성산구 대방동 대동디지털아파트,6,35.2065467,128.7074699
PDA단속,창원시 성산구 대방동 대동아파트,28,35.2065446,128.7087029
PDA단속,창원시 성산구 대방동 대동황토방아파트,26,35.2065467,128.7074699
PDA단속,창원시 성산구 대방동 대동훼미리코아,7,35.2099366,128.7087556
PDA단속,창원시 성산구 대방동 대방 IC,1,35.2065467,128.7074699
PDA단속,창원시 성산구 대방동 대방10호교,7,35.2150992,128.7105913
PDA단속,창원시 성산구 대방동 대방1호교,1,35.210655,128.6984259
PDA단속,창원시 성산구 대방동 대방3호교,7,35.2073776,128.6956763
PDA단속,창원시 성산구 대방동 대방8호교,1,35.2140159,128.7078972
PDA단속,창원시 성산구 대방동 대방9호교,47,35.2086419,128.7140172
PDA단속,창원시 성산구 대방동 대방그린빌아파트,26,35.2099455,128.7082937
PDA단속,창원시 성산구 대방동 대방메디컬센터,4,35.2102172,128.7165993
PDA단속,창원시 성산구 대방동 대방어린이집,16,35.2151382,128.7085075
PDA단속,창원시 성산구 대방동 대방주구운동장,4,35.2102172,128.7165993
PDA단속,창원시 성산구 대방동 대방주유소,11,35.2159601,128.7080638
PDA단속,창원시 성산구 대방동 대방중학교,15,35.2097907,128.7076445
PDA단속,창원시 성산구 대방동 대방지천3호교,9,35.2102172,128.7165993
PDA단속,창원시 성산구 대방동 대방체육공원,9,35.2166667,128.7113889
PDA단속,창원시 성산구 대방동 대방초등학교,49,35.2114117,128.7068427
PDA단속,창원시 성산구 대방동 대방프리자,2,35.2093776,128.7077029
PDA단속,창원시 성산구 대방동 대암고등학교,86,35.2075538,128.7114322
PDA단속,창원시 성산구 대방동 대암빌딩,21,35.2080444,128.7075363
PDA단속,창원시 성산구 대방동 대암중학교,43,35.2075538,128.7114322
PDA단속,창원시 성산구 대방동 대암초등학교,34,35.205867,128.709421
PDA단속,창원시 성산구 대방동 대양빌딩,42,35.2083499,128.7080918
PDA단속,창원시 성산구 대방동 대풍빌딩,89,35.2160435,128.7075083
PDA단속,창원시 성산구 대방동 더스퀘어,1,35.2039951,128.7115023
PDA단속,창원시 성산구 대방동 덕산1차아파트,29,35.2129605,128.7065084
PDA단속,창원시 성산구 대방동 덕산2차아파트,119,35.204437,128.709338
PDA단속,창원시 성산구 대방동 덕산2치아파트,1,35.204437,128.709338
PDA단속,창원시 성산구 대방동 덕산상가,67,35.2040727,128.7092584
PDA단속,창원시 성산구 대방동 덕산아파트,32,35.2129605,128.7065084
PDA단속,창원시 성산구 대방동 덕산타운상가,73,35.2129605,128.7065084
PDA단속,창원시 성산구 대방동 동성2차아파트,106,35.2121068,128.703806
PDA단속,창원시 성산구 대방동 동성아파트,15,35.203351,128.7061164
PDA단속,창원시 성산구 대방동 동진빌딩,23,35.2102172,128.7165993
PDA단속,창원시 성산구 대방동 디지털상가,12,35.2065467,128.7074699
PDA단속,창원시 성산구 대방동 디지털아파트,16,35.2065446,128.7087029
PDA단속,창원시 성산구 대방동 디지털아파트상가,26,35.2065446,128.7087029
PDA단속,창원시 성산구 대방동 디지털프라자,22,35.2093776,128.7077029
PDA단속,창원시 성산구 대방동 무궁화빌딩,89,35.2092273,128.7070339
PDA단속,창원시 성산구 대방동 무궁화상가,45,35.2219592,128.6936761
PDA단속,창원시 성산구 대방동 무영쌈밥정식,7,35.2159879,128.7077582
PDA단속,창원시 성산구 대방동 미다스빌딩,49,35.2091591,128.7079031
PDA단속,창원시 성산구 대방동 민원센터,2,35.2159046,128.7087304
PDA단속,창원시 성산구 대방동 보람빌딩,3,35.2092943,128.7074251
PDA단속,창원시 성산구 대방동 부일스포츠,2,35.2156546,128.7053974
PDA단속,창원시 성산구 대방동 비음로228,1,35.2152172,128.7102579
PDA단속,창원시 성산구 대방동 비음로234,1,35.2148418,128.7098669
PDA단속,창원시 성산구 대방동 비음로234번지,1,35.2148418,128.7098669
PDA단속,창원시 성산구 대방동 사파동 주민센터,56,35.2159046,128.7087304
PDA단속,창원시 성산구 대방동 삼성공인중개사,2,35.2074228,128.7087162
PDA단속,창원시 성산구 대방동 삼성디지털프라자,15,35.2093776,128.7077029
PDA단속,창원시 성산구 대방동 삼성전자대리점,1,35.2093776,128.7077029
PDA단속,창원시 성산구 대방동 삼원재가노인복지센터,23,35.216904,128.705203
PDA단속,창원시 성산구 대방동 삼원회관,6,35.2102172,128.7165993
PDA단속,창원시 성산구 대방동 성당,33,35.2071557,128.7105638
PDA단속,창원시 성산구 대방동 성막교회,5,35.2130716,128.7099803
PDA단속,창원시 성산구 대방동 성문교회,30,35.2110997,128.7107303
PDA단속,창원시 성산구 대방동 성산노인종합복지관,2,35.216904,128.705203
PDA단속,창원시 성산구 대방동 성원2차아파트,235,35.2121068,128.703806
PDA단속,창원시 성산구 대방동 성원3차상가,349,35.2150158,128.7051474
PDA단속,창원시 성산구 대방동 성원3차아파트,3,35.2148403,128.7083073
PDA단속,창원시 성산구 대방동 성원남산아파트,28,35.2148403,128.7083073
PDA단속,창원시 성산구 대방동 성원상가,11,35.2148403,128.7083073
PDA단속,창원시 성산구 대방동 성원아파트,28,35.2148403,128.7083073
PDA단속,창원시 성산구 대방동 성지빌딩,2,35.2077294,128.7082257
PDA단속,창원시 성산구 대방동 성지자동차정비,1,35.216005,128.7068729
PDA단속,창원시 성산구 대방동 신대방빌딩,157,35.2072178,128.7082367
PDA단속,창원시 성산구 대방동 아카데미빌딩,10,35.2161546,128.707786
PDA단속,창원시 성산구 대방동 안남중학교,87,35.2055725,128.7080918
PDA단속,창원시 성산구 대방동 안남초등학교,13,35.2093776,128.7102582
PDA단속,창원시 성산구 대방동 엘지전자대리점,21,35.209266,128.707286
PDA단속,창원시 성산구 대방동 이브자리대방점,9,35.207375,128.7117854
PDA단속,창원시 성산구 대방동 임마누엘창원교회,17,35.2091554,128.7066752
PDA단속,창원시 성산구 대방동 자연유치원,23,35.206989,128.7107304
PDA단속,창원시 성산구 대방동 주민센터,11,35.2159046,128.7087304
PDA단속,창원시 성산구 대방동 천춘하시락국밥,35,35.2145599,128.7093625
PDA단속,창원시 성산구 대방동 크리스탈빌딩,73,35.2072667,128.7076474
PDA단속,창원시 성산구 대방동 파출소,99,35.2155435,128.7087859
PDA단속,창원시 성산구 대방동 평화교회,1,35.2100165,128.7110637
PDA단속,창원시 성산구 대방동 화영자동차정비,74,35.2108215,128.710793
PDA단속,창원시 성산구 대방동 황토방상가,8,35.2065467,128.7074699
PDA단속,창원시 성산구 대방동 황토방아파트,4,35.2065467,128.7074699
PDA단속,창원시 성산구 반림동 교통문화연수원,28,35.236707,128.6717333
PDA단속,창원시 성산구 반림동 까치아파트,42,35.2441183,128.6672994
PDA단속,창원시 성산구 반림동 대신자동차정비,1,35.1834441,128.7042764
PDA단속,창원시 성산구 반림동 떡보의하루,52,35.2400492,128.6637106
PDA단속,창원시 성산구 반림동 럭키상가,142,35.239574,128.66658
PDA단속,창원시 성산구 반림동 럭키아파트,21,35.237709,128.668092
PDA단속,창원시 성산구 반림동 미건빌딩,8,35.2358686,128.6712035
PDA단속,창원시 성산구 반림동 반림교회,3,35.2392216,128.6791638
PDA단속,창원시 성산구 반림동 반송시장,9,35.2351516,128.6710667
PDA단속,창원시 성산구 반림동 반송여중,50,35.2355842,128.6754269
PDA단속,창원시 성산구 반림동 반송중학교,37,35.2355842,128.6754269
PDA단속,창원시 성산구 반림동 반송초등학교,2,35.2370681,128.6705945
PDA단속,창원시 성산구 반림동 세광교회,8,35.2406156,128.6669463
PDA단속,창원시 성산구 반림동 송림빌딩,3,35.2360136,128.6692499
PDA단속,창원시 성산구 반림동 수자원공사,4,35.242289,128.6682049
PDA단속,창원시 성산구 반림동 우리은행,91,35.2360127,128.6718166
PDA단속,창원시 성산구 반림동 창원반림교회,34,35.2359294,128.6733165
PDA단속,창원시 성산구 반림동 창원천1호교,3,35.2360136,128.6692499
PDA단속,창원시 성산구 반림동 충혼로201번길,82,35.2418832,128.6646216
PDA단속,창원시 성산구 반림동 트리비앙상가,24,35.232685,128.671786
PDA단속,창원시 성산구 반림동 트리비앙아파트,81,35.232685,128.671786
PDA단속,창원시 성산구 반림동 현대건설아파트,23,35.236213,128.674419
PDA단속,창원시 성산구 반림동 현대상가,3,35.2380829,128.6779172
PDA단속,창원시 성산구 반림동 현대아파트,40,35.236213,128.674419
PDA단속,창원시 성산구 반림동 회성메디칼빌딩,16,35.2360136,128.6692499
PDA단속,창원시 성산구 반송동 교통문화연수원,36,35.236707,128.6717333
PDA단속,창원시 성산구 반송동 노블레스상가,2,35.2405955,128.6626786
PDA단속,창원시 성산구 반송동 노블파크아파트,211,35.2377326,128.6667832
PDA단속,창원시 성산구 반송동 노블파크주상가,105,35.2364292,128.6674559
PDA단속,창원시 성산구 반송동 럭키아파트,137,35.237709,128.668092
PDA단속,창원시 성산구 반송동 반림교회,4,35.2392216,128.6791638
PDA단속,창원시 성산구 반송동 반송성당,17,35.2361111,128.6705556
PDA단속,창원시 성산구 반송동 반송시장,16,35.2351516,128.6710667
PDA단속,창원시 성산구 반송동 반송여중,3,35.2355842,128.6754269
PDA단속,창원시 성산구 반송동 반송제일교회,1,35.2344017,128.6690669
PDA단속,창원시 성산구 반송동 반송중학교,11,35.2355842,128.6754269
PDA단속,창원시 성산구 반송동 반송초등학교,2,35.2370681,128.6705945
PDA단속,창원시 성산구 반송동 반송파출소,3,35.2354016,128.6699835
PDA단속,창원시 성산구 반송동 수영빌딩,6,35.2360126,128.6710667
PDA단속,창원시 성산구 반송동 제일교회,19,35.2344017,128.6690669
PDA단속,창원시 성산구 반송동 창원반림교회,1,35.2359294,128.6733165
