"","parking_ID","parking_name","parking_adr","parking_lat","parking_lng","parking_pay","parking_time","C","D","floating_people","parking_area","remain","rpa","newdata.dansok_s","newdata.zone_s","newdata.pay_s","newdata.time_s","newdata.cctv_s","newdata.pop_s","score","ppg","ppr"
"199","415-2-000129","천선동 쓰레기 매립장 입구 임시공영주차장","경상남도 창원시 성산구 안민동 산 144-4",35.171732,128.690899,"무료","24시간",0,0,0,10,NA,NA,0.547912154724091,0.701675188378225,0.436733745542635,0.84927233756328,0.326837859803831,0.691268172568582,195.536994585806,"A",1
"200","415-2-000128","안민동 124 임시 공영주차장","경상남도 창원시 성산구 안민동 124",35.186123,128.692416,"무료","24시간",0,1216,1801.23249985714,42,NA,NA,0.0731823755650438,0.24145404865671,0.436733745542635,0.84927233756328,0.326837859803831,0.108787276634868,180.362676437664,"B",2
"201","415-2-000127","안민동 예비군훈련장 임시주차장","경상남도 창원시 성산구 안민동 산92-6",35.186296,128.689094,"무료","24시간",0,941,5375.730833,80,NA,NA,0.180543139766309,-0.305058554762588,0.436733745542635,0.84927233756328,0.326837859803831,-1.04713068052377,164.411978473897,"B",2
"202","415-2-000126","성주동 128-3 공영주차장","경상남도 창원시 성산구 성주동 128-3",35.191065,128.702917,"무료","24시간",0,155,90.4776190714286,45,NA,NA,0.487399723992469,0.198308316807818,0.436733745542635,0.84927233756328,0.326837859803831,0.662009603992423,189.605615877025,"B",2
"203","415-2-000125","성주동 70-21 임시 공영주차장","경상남도 창원시 성산구 성주동 70-21",35.18639,128.694826,"무료","24시간",0,816,1447.999643,15,NA,NA,0.22934348713052,0.629765635296739,0.436733745542635,0.84927233756328,0.326837859803831,0.223015390413457,186.949684557505,"B",2
"204","415-2-000124","남양동 31-8 임시주차장","경상남도 창원시 성산구 남양동 31-8",35.207144,128.704001,"무료","24시간",3,2652,639.549523785714,13,NA,NA,-0.487436014955016,0.658529456529333,0.436733745542635,0.84927233756328,-2.35071845320447,0.484451240474458,155.908323119502,"C",3
"205","415-2-000123","기업사랑공원 공영주차장","경상남도 창원시 성산구 가음동 619",35.206111,128.696829,"무료","24시간",0,1460,864.78,86,NA,NA,-0.0220759024898967,-0.391350018460372,0.436733745542635,0.84927233756328,0.326837859803831,0.411616417880885,176.110344398404,"B",2
"206","415-2-000122","남양동 37번지 임시공영주차장","경상남도 창원시 성산구 남양동 37",35.206362,128.70552,"무료","24시간",0,3453,1378.80892871429,47,NA,NA,-0.800148640864882,0.169544495575224,0.436733745542635,0.84927233756328,0.326837859803831,0.245390219454478,172.276300170746,"B",2
"207","415-2-000121","가음동 1-5 공영주차장","경상남도 창원시 성산구 가음동 1-5",35.206111,128.696829,"무료","24시간",0,1460,864.78,63,NA,NA,-0.0220759024898967,-0.0605660742855337,0.436733745542635,0.84927233756328,0.326837859803831,0.411616417880885,179.418183840152,"B",2
"208","415-2-000120","불곡사앞 공영주차장","경상남도 창원시 성산구 대방동 1032",35.210217,128.716599,"무료","24시간",0,1791,0.0807142855714286,69,NA,NA,-0.151299222310328,-0.146857537983318,0.436733745542635,0.84927233756328,0.326837859803831,0.691242071257742,180.059292538738,"B",2
"209","415-2-000119","남양동 버스 회차장 주차장","경상남도 창원시 성산구 남양동 45",35.204359,128.70601,"무료","24시간",0,123,5200.70880942857,59,3,0.0508474576271186,0.499892612917707,-0.00303843182034437,0.436733745542635,0.84927233756328,0.326837859803831,-0.990532220799056,171.191659032081,"B",2
"210","415-2-000118","남양동43-6 임시 공용주차장","경상남도 창원시 성산구 남양동 43-6",35.204262,128.704976,"무료","24시간",0,1043,2080.42857128571,48,NA,NA,0.140722056317112,0.155162584958926,0.436733745542635,0.84927233756328,0.326837859803831,0.0185011098908271,179.272296940766,"B",2
"211","415-2-000051","반지동 대동그린코아앞 임시 공영주차장","경상남도 창원시 성산구 반지동 512-5",35.245275,128.67058,"무료","24시간",0,1549,5434.20261928571,105,7,0.0666666666666667,-0.0568217498132152,-0.664606320170022,0.436733745542635,0.84927233756328,0.326837859803831,-1.06603923256536,158.253766403611,"C",3
"212","415-2-000050","반지동 72-8 임시 공영주차장","경상남도 창원시 성산구 반송로42번길",35.239011,128.661129,"무료","24시간",1,11,2400.87369057143,18,NA,NA,0.543617724156041,0.586619903447847,0.436733745542635,0.84927233756328,-0.565680911198937,-0.0851241357084686,177.654386638024,"B",2
"213","415-2-000049","반지동 52-10 임시 공영주차장","경상남도 창원시 성산구 충혼로179번길",35.241386,128.664682,"무료","24시간",0,281,1222.96857128571,8,NA,NA,0.438208973849344,0.73043900961082,0.436733745542635,0.84927233756328,0.326837859803831,0.295785729764682,190.772776561346,"B",2
"214","415-2-000052","내동공원 공영 주차장","경상남도 창원시 성산구 내동 380-6",35.221845,128.667328,"무료","24시간",0,27,190.848095228571,19,NA,NA,0.537371279693422,0.572237992831549,0.436733745542635,0.84927233756328,0.326837859803831,0.629551892463266,193.52005107898,"B",2
"215","415-2-000048","반지동 44-6 임시 공영주차장","경상남도 창원시 성산구 반송로81번길",35.242291,128.665558,"무료","24시간",0,224,1013.16595237143,7,NA,NA,0.460461932247425,0.744820920227117,0.436733745542635,0.84927233756328,0.326837859803831,0.363631506167298,191.817583015516,"B",2
"216","415-2-000047","반지동 44-3 임시 공영주차장","경상남도 창원시 성산구 반송로81번길",35.242691,128.665484,"무료","24시간",0,209,1079.15083357143,7,NA,NA,0.46631797393113,0.744820920227117,0.436733745542635,0.84927233756328,0.326837859803831,0.3422933764575,191.662762135255,"B",2
"217","415-2-000046","반지동 42-9 임시 공영주차장","경상남도 창원시 성산구 반지동 42-9",35.242813,128.664058,"무료","24시간",0,146,599.3688095,27,NA,NA,0.490913349002693,0.45718270790117,0.436733745542635,0.84927233756328,0.326837859803831,0.497444842609805,190.583848424234,"B",2
"218","415-2-000045","반림동 럭키아파트뒤 공영주차장","경상남도 창원시 성산구 반송동 266",35.240707,128.66727,"무료","24시간",0,404,628.998690442857,95,NA,NA,0.39018943204296,-0.520787214007049,0.436733745542635,0.84927233756328,0.326837859803831,0.487863159179501,179.701093201252,"B",2
"219","415-2-000044","수자원공사옆 공영주차장","경상남도 창원시 성산구 충혼로224번길",35.24323,128.667001,"무료","24시간",0,234,342.151904771429,30,NA,NA,0.456557904458288,0.414036976052278,0.436733745542635,0.84927233756328,0.326837859803831,0.580623406802644,190.64062230223,"B",2
"220","415-2-000041","반송공원 공영 주차장","경상남도 창원시 성산구 반림동 6-1",35.236845,128.672868,"무료","24시간",0,267,2304.15083357143,231,NA,NA,0.443674612754136,-2.47672705782349,0.436733745542635,0.84927233756328,0.326837859803831,-0.0538459878807467,155.259455099596,"C",3
