,place1,Freq,,
684,Q이삿날,3,,
685,Q창동,3,,
686,Q혹시,3,,
687,가격,3,,
688,가요,3,,
689,가포,3,,
690,감사,3,,
691,개발,3,,
692,개통,3,,
693,걱정,3,,
694,건너편,3,,
695,건축물,3,,
696,겔럭시노트케이스,3,,
697,경남대,3,,
698,경비,3,,
699,고객,3,,
700,고속터미널,3,,
701,공공주차장,3,,
702,공터,3,,
703,공항,3,,
704,공회,3,,
705,과다,3,,
706,과속,3,,
707,과잉,3,,
708,과태,3,,
709,과태료부과,3,,
710,관리공단,3,,
711,교체,3,,
712,교통불편,3,,
713,구암동전자렌지,3,,
714,구조,3,,
715,국민체육,3,,
716,굿모닝내과,3,,
717,귀산,3,,
718,귀산동,3,,
719,기능,3,,
720,길가,3,,
721,길목,3,,
722,김해아이스퀘어,3,,
723,끊겼네요ㅜ,3,,
724,남강빌딩,3,,
725,남문,3,,
726,남산터미널,3,,
727,남창,3,,
728,남편,3,,
729,내동상가부근,3,,
730,내일,3,,
731,넉넉,3,,
732,노동지청,3,,
733,농산물,3,,
734,누굴,3,,
735,누리,3,,
736,단독주택,3,,
737,단정,3,,
738,대란,3,,
739,대박,3,,
740,대병,3,,
741,대비,3,,
742,대상,3,,
743,대학교,3,,
744,더스퀘어,3,,
745,더스퀘어상가,3,,
746,동마산,3,,
747,동산,3,,
748,돝섬,3,,
749,두산위브,3,,
750,뒤쪽,3,,
751,드라마,3,,
752,럭키,3,,
753,럭키아파트,3,,
754,롯데,3,,
755,롯데리아,3,,
756,롯마,3,,
757,롯백주차,3,,
758,마당,3,,
759,마미캠,3,,
760,마산베이비파크요,3,,
761,마산어,3,,
762,마산역공영주차장,3,,
763,마산역및동도아파트앞골목,3,,
764,마트,3,,
765,말구,3,,
766,매일,3,,
767,맥도날드,3,,
768,메가박스,3,,
769,모던,3,,
770,모델하우스,3,,
771,무개념주,3,,
772,무궁화,3,,
773,무료주차할,3,,
774,무료주차할수,3,,
775,무서운주차,3,,
776,무시,3,,
777,무엇,3,,
778,물건,3,,
779,미래,3,,
780,미래에셋,3,,
781,밑거,3,,
782,바다,3,,
783,바닥,3,,
784,발견,3,,
785,발부,3,,
786,방아,3,,
787,배후,3,,
788,버스전용차로,3,,
789,번호판,3,,
790,법원,3,,
791,법원옆,3,,
792,벡스코,3,,
793,보완,3,,
794,복지,3,,
795,부과,3,,
796,부설,3,,
797,부지,3,,
798,부터,3,,
799,북동,3,,
800,불만,3,,
801,불친,3,,
802,불합리,3,,
803,뷔폐캐슬,3,,
804,뽀로로,3,,
805,사설주차장,3,,
806,사유지,3,,
807,산부인과,3,,
808,산업,3,,
809,삼각지,3,,
810,상남장,3,,
811,상상,3,,
812,상인,3,,
813,상점,3,,
814,새로생긴,3,,
815,생활체육관,3,,
816,샤워,3,,
817,서비스,3,,
818,설계변경,3,,
819,세대,3,,
820,세코베이비페어주차,3,,
821,세트,3,,
822,소방,3,,
823,손님,3,,
824,송도,3,,
825,수업,3,,
826,수원지,3,,
827,스벅,3,,
828,승강장,3,,
